,county,county_x_cor,county_y_cor
0,Alba,-138.0,36.0
1,Arad,-281.0,54.0
2,Argeș,-18.0,-106.0
3,Bacău,155.0,63.0
4,Bihor,-251.0,145.0
5,Bistrița-Năsăud,-33.0,180.0
6,Botoșani,156.0,244.0
7,Brașov,14.0,-20.0
8,Brăila,251.0,-100.0
9,Buzău,153.0,-84.0
10,Caraș-Severin,-266.0,-98.0
11,Călărași,178.0,-208.0
12,Cluj,-134.0,115.0
13,Constanța,307.0,-211.0
14,Covasna,97.0,-2.0
15,Dâmbovița,41.0,-127.0
16,Dolj,-134.0,-229.0
17,Galați,254.0,-16.0
18,Giurgiu,86.0,-229.0
19,Gorj,-156.0,-121.0
20,Harghita,42.0,86.0
21,Hunedoara,-197.0,-15.0
22,Ialomița,195.0,-167.0
23,Iași,207.0,170.0
24,Ilfov,105.0,-182.0
25,Maramureș,-92.0,228.0
26,Mehedinți,-196.0,-170.0
27,Mureș,-36.0,87.0
28,Neamț,119.0,138.0
29,Olt,-47.0,-214.0
30,Prahova,92.0,-105.0
31,Satu Mare,-188.0,228.0
32,Sălaj,-168.0,169.0
33,Sibiu,-66.0,2.0
34,Suceava,62.0,223.0
35,Teleorman,14.0,-247.0
36,Timiș,-335.0,-18.0
37,Tulcea,350.0,-111.0
38,Vaslui,249.0,78.0
39,Vâlcea,-86.0,-109.0
40,Vrancea,174.0,-8.0
